UsuarioID,Nome,Email,Telefone,DataNascimento,Genero,CidadeID,CEP,Profissao,RendaFamiliar,Fumante,DataCadastro,DataUltimaAtualizacao,Ativo,NomeCidade,EstadoID,Populacao,NomeEstado,Regiao,CompraID,DataCompra,ValorTotal,MetodoPagamento,Idade,Fumante_Label,FaixaRenda
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1,Novais,4,2540179,Rio Grande do Sul,Sul,2065.0,2025-07-23 08:57:22.830206,0.0,Cartão Crédito,23,Não,1k-3k
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1,Novais,4,2540179,Rio Grande do Sul,Sul,5905.0,2023-09-03 15:59:16.171735,165.306394,Dinheiro,23,Não,1k-3k
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1,Novais,4,2540179,Rio Grande do Sul,Sul,10876.0,2025-02-14 19:25:38.122361,49.591081,PIX,23,Não,1k-3k
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1,Novais,4,2540179,Rio Grande do Sul,Sul,13859.0,2023-08-06 18:46:43.589757,56.464412,PIX,23,Não,1k-3k
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1,Novais,4,2540179,Rio Grande do Sul,Sul,25425.0,2024-12-08 22:43:50.985888,277.85154900000003,PIX,23,Não,1k-3k
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1,Novais,4,2540179,Rio Grande do Sul,Sul,31866.0,2024-05-06 15:19:43.393098,0.0,Dinheiro,23,Não,1k-3k
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1,Novais,4,2540179,Rio Grande do Sul,Sul,48214.0,2024-07-26 20:47:20.795627,364.45606,PIX,23,Não,1k-3k
2,Giovanna Pastor,ucostela@example.org,+55 (061) 9072 9485,1953-11-06,F,189,34157-517,Juiz ou árbitro de futebol,4356.3,0,2024-07-13 15:56:47.425396,2025-05-02 06:45:06.989217,1,Montenegro da Mata,12,3703976,Goiás,Centro-Oeste,2111.0,2023-09-03 06:39:49.346233,211.110675,Cartão Crédito,71,Não,3k-5k
2,Giovanna Pastor,ucostela@example.org,+55 (061) 9072 9485,1953-11-06,F,189,34157-517,Juiz ou árbitro de futebol,4356.3,0,2024-07-13 15:56:47.425396,2025-05-02 06:45:06.989217,1,Montenegro da Mata,12,3703976,Goiás,Centro-Oeste,5612.0,2024-06-01 15:29:44.145073,199.127639,PIX,71,Não,3k-5k
2,Giovanna Pastor,ucostela@example.org,+55 (061) 9072 9485,1953-11-06,F,189,34157-517,Juiz ou árbitro de futebol,4356.3,0,2024-07-13 15:56:47.425396,2025-05-02 06:45:06.989217,1,Montenegro da Mata,12,3703976,Goiás,Centro-Oeste,8224.0,2023-08-28 00:07:37.082728,0.0,Dinheiro,71,Não,3k-5k
